vsim -c LLC_Cache -do "run -all" +trace_file=./traces/t17.din
# End time: 21:10:13 on Dec 09,2024, Elapsed time: 0:01:01
# Errors: 2, Warnings: 1
# vsim -c LLC_Cache -do "run -all" "+trace_file=./traces/t17.din" 
# Start time: 21:10:13 on Dec 09,2024
# ** Note: (vsim-8009) Loading existing optimized design _opt3
# Loading sv_std.std
# Loading work.pkg_line(fast)
# Loading work.pkg_bus(fast)
# Loading work.pkg_plru(fast)
# Loading work.TOP_sv_unit(fast)
# Loading work.LLC_Cache(fast)
# run -all
# Read request from L1 data cache, Address: 00000002 
# 
# Cache miss for address 00000002
# Cache hit is  = 0, cache_misses is = 1, way_idx = 0 
# MESI state before entering function is = 0
# Found Invalid MESI state in Way: 0
# Busop: READ, Address: 00000002, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           0 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00000000
# Read request from L1 data cache, Address: 00200000 
# 
# Cache miss for address 00200000
# Cache hit is  = 0, cache_misses is = 2, way_idx = 0 
# MESI state before entering function is = 0
# Found Invalid MESI state in Way: 1
# Busop: READ, Address: 00200000, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           1 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 00200000
# Write request from L1 data cache, Address: 00400002
# 
# before
# after
# Cache miss for address 00400002
# Found Invalid MESI state in Way: 2
# the victim way found is = 2
# Updating for Way:           2 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 0
# Busop: RWIM, Address: 00400002, Snoop Result: NOHIT
# L2: SENDLINE 00000000
# Read request from L1 data cache, Address: 00600002 
# 
# Cache miss for address 00600002
# Cache hit is  = 0, cache_misses is = 4, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 3
# Busop: READ, Address: 00600002, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           3 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00600000
# Read request from L1 data cache, Address: 00800000 
# 
# Cache miss for address 00800000
