vsim -c LLC_Cache -do "run -all" +trace_file=./traces/t5.din
# End time: 20:28:51 on Dec 09,2024, Elapsed time: 0:02:29
# Errors: 0, Warnings: 1
# vsim -c LLC_Cache -do "run -all" "+trace_file=./traces/t5.din" 
# Start time: 20:28:51 on Dec 09,2024
# ** Note: (vsim-8009) Loading existing optimized design _opt3
# Loading sv_std.std
# Loading work.pkg_line(fast)
# Loading work.pkg_bus(fast)
# Loading work.pkg_plru(fast)
# Loading work.TOP_sv_unit(fast)
# Loading work.LLC_Cache(fast)
# run -all
# Working code to read and parse an input trace file (the name of which is specified by the user) with correct default if none specified
# Using input trace file: ./traces/t5.din
# File opened successfully: ./traces/t5.din 
# 
# Initializing Cache
# Parsed: n = 0, 
# Address: Tag[31:20] = 000, Index[19:6] = 0000 , Offset[5:0] = 00
# Read request from L1 data cache, Address: 00000000 
# 
# CacheRead Count =           1
# Cache miss for address 00000000
# CacheMiss Count =           1
# Cache hit is  = 0, cache_misses is = 1, way_idx = 0 
# MESI state before entering function is = 0
# Found Invalid MESI state in Way: 0
# Busop: READ, Address: 00000000, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           0 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 00000000
# Parsed: n = 0, 
# Address: Tag[31:20] = 002, Index[19:6] = 0000 , Offset[5:0] = 01
# Read request from L1 data cache, Address: 00200001 
# 
# CacheRead Count =           2
# Cache miss for address 00200001
# CacheMiss Count =           2
# Cache hit is  = 0, cache_misses is = 2, way_idx = 0 
# MESI state before entering function is = 0
# Found Invalid MESI state in Way: 1
# Busop: READ, Address: 00200001, Snoop Result: HITM
# Index = 0, way = 0, tag = 0
# Updating for Way:           1 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 00200000
# Parsed: n = 0, 
# Address: Tag[31:20] = 004, Index[19:6] = 0000 , Offset[5:0] = 02
# Read request from L1 data cache, Address: 00400002 
# 
# CacheRead Count =           3
# Cache miss for address 00400002
# CacheMiss Count =           3
# Cache hit is  = 0, cache_misses is = 3, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 2
# Busop: READ, Address: 00400002, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           2 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00400000
# Parsed: n = 0, 
# Address: Tag[31:20] = 006, Index[19:6] = 0000 , Offset[5:0] = 03
# Read request from L1 data cache, Address: 00600003 
# 
# CacheRead Count =           4
# Cache miss for address 00600003
# CacheMiss Count =           4
# Cache hit is  = 0, cache_misses is = 4, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 3
# Busop: READ, Address: 00600003, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           3 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00600000
# Parsed: n = 0, 
# Address: Tag[31:20] = 008, Index[19:6] = 0000 , Offset[5:0] = 04
# Read request from L1 data cache, Address: 00800004 
# 
# CacheRead Count =           5
# Cache miss for address 00800004
# CacheMiss Count =           5
# Cache hit is  = 0, cache_misses is = 5, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 4
# Busop: READ, Address: 00800004, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           4 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 00800000
# Parsed: n = 0, 
# Address: Tag[31:20] = 00a, Index[19:6] = 0000 , Offset[5:0] = 05
# Read request from L1 data cache, Address: 00a00005 
# 
# CacheRead Count =           6
# Cache miss for address 00a00005
# CacheMiss Count =           6
# Cache hit is  = 0, cache_misses is = 6, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 5
# Busop: READ, Address: 00a00005, Snoop Result: HITM
# Index = 0, way = 0, tag = 0
# Updating for Way:           5 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 00a00000
# Parsed: n = 0, 
# Address: Tag[31:20] = 00c, Index[19:6] = 0000 , Offset[5:0] = 06
# Read request from L1 data cache, Address: 00c00006 
# 
# CacheRead Count =           7
# Cache miss for address 00c00006
# CacheMiss Count =           7
# Cache hit is  = 0, cache_misses is = 7, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 6
# Busop: READ, Address: 00c00006, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           6 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00c00000
# Parsed: n = 0, 
# Address: Tag[31:20] = 00e, Index[19:6] = 0000 , Offset[5:0] = 07
# Read request from L1 data cache, Address: 00e00007 
# 
# CacheRead Count =           8
# Cache miss for address 00e00007
# CacheMiss Count =           8
# Cache hit is  = 0, cache_misses is = 8, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 7
# Busop: READ, Address: 00e00007, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           7 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 00e00000
# Parsed: n = 0, 
# Address: Tag[31:20] = 010, Index[19:6] = 0000 , Offset[5:0] = 00
# Read request from L1 data cache, Address: 01000000 
# 
# CacheRead Count =           9
# Cache miss for address 01000000
# CacheMiss Count =           9
# Cache hit is  = 0, cache_misses is = 9, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 8
# Busop: READ, Address: 01000000, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           8 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 0
# PLRU BitUpdated PLRU[         11] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01000000
# Parsed: n = 0, 
# Address: Tag[31:20] = 012, Index[19:6] = 0000 , Offset[5:0] = 01
# Read request from L1 data cache, Address: 01200001 
# 
# CacheRead Count =          10
# Cache miss for address 01200001
# CacheMiss Count =          10
# Cache hit is  = 0, cache_misses is = a, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 9
# Busop: READ, Address: 01200001, Snoop Result: HITM
# Index = 0, way = 0, tag = 0
# Updating for Way:           9 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 0
# PLRU BitUpdated PLRU[         11] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01200000
# Parsed: n = 0, 
# Address: Tag[31:20] = 014, Index[19:6] = 0000 , Offset[5:0] = 02
# Read request from L1 data cache, Address: 01400002 
# 
# CacheRead Count =          11
# Cache miss for address 01400002
# CacheMiss Count =          11
# Cache hit is  = 0, cache_misses is = b, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 10
# Busop: READ, Address: 01400002, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          10 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 1
# PLRU BitUpdated PLRU[         12] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01400000
# Parsed: n = 0, 
# Address: Tag[31:20] = 016, Index[19:6] = 0000 , Offset[5:0] = 03
# Read request from L1 data cache, Address: 01600003 
# 
# CacheRead Count =          12
# Cache miss for address 01600003
# CacheMiss Count =          12
# Cache hit is  = 0, cache_misses is = c, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 11
# Busop: READ, Address: 01600003, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          11 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 1
# PLRU BitUpdated PLRU[         12] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01600000
# Parsed: n = 0, 
# Address: Tag[31:20] = 018, Index[19:6] = 0000 , Offset[5:0] = 04
# Read request from L1 data cache, Address: 01800004 
# 
# CacheRead Count =          13
# Cache miss for address 01800004
# CacheMiss Count =          13
# Cache hit is  = 0, cache_misses is = d, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 12
# Busop: READ, Address: 01800004, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          12 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 0
# PLRU BitUpdated PLRU[         13] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01800000
# Parsed: n = 0, 
# Address: Tag[31:20] = 01a, Index[19:6] = 0000 , Offset[5:0] = 05
# Read request from L1 data cache, Address: 01a00005 
# 
# CacheRead Count =          14
# Cache miss for address 01a00005
# CacheMiss Count =          14
# Cache hit is  = 0, cache_misses is = e, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 13
# Busop: READ, Address: 01a00005, Snoop Result: HITM
# Index = 0, way = 0, tag = 0
# Updating for Way:          13 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 0
# PLRU BitUpdated PLRU[         13] = 1
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 01a00000
# Parsed: n = 0, 
# Address: Tag[31:20] = 01c, Index[19:6] = 0000 , Offset[5:0] = 06
# Read request from L1 data cache, Address: 01c00006 
# 
# CacheRead Count =          15
# Cache miss for address 01c00006
# CacheMiss Count =          15
# Cache hit is  = 0, cache_misses is = f, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 14
# Busop: READ, Address: 01c00006, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          14 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 1
# PLRU BitUpdated PLRU[         14] = 0
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01c00000
# Parsed: n = 0, 
# Address: Tag[31:20] = 01e, Index[19:6] = 0000 , Offset[5:0] = 07
# Read request from L1 data cache, Address: 01e00007 
# 
# CacheRead Count =          16
# Cache miss for address 01e00007
# CacheMiss Count =          16
# Cache hit is  = 0, cache_misses is = 10, way_idx = 0 
# MESI state before entering function is = 1
# Found Invalid MESI state in Way: 15
# Busop: READ, Address: 01e00007, Snoop Result: NOHIT
# Index = 0, way = 0, tag = 0
# Updating for Way:          15 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 1
# PLRU BitUpdated PLRU[          6] = 1
# PLRU BitUpdated PLRU[         14] = 1
# No snoop hit. Transitioning to Exclusive state.
# Current state 3
# L2: SENDLINE 01e00000
# Parsed: n = 1, 
# Address: Tag[31:20] = 00c, Index[19:6] = 0000 , Offset[5:0] = 00
# Write request from L1 data cache, Address: 00c00000
# 
# before
# after
# CacheWrite Count =           1
# inside function way_idx = 6
# Cache hit for address 00c00000
# CacheHit Count =           1
# Updating for Way:           6 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 0
# Parsed: n = 9, 
# Address: Tag[31:20] = 000, Index[19:6] = 0000 , Offset[5:0] = 00
# Set: 0, Way: 0, MESI: S, Tag: 000
# Set: 0, Way: 1, MESI: S, Tag: 002
# Set: 0, Way: 2, MESI: E, Tag: 004
# Set: 0, Way: 3, MESI: E, Tag: 006
# Set: 0, Way: 4, MESI: S, Tag: 008
# Set: 0, Way: 5, MESI: S, Tag: 00a
# Set: 0, Way: 6, MESI: M, Tag: 00c
# Set: 0, Way: 7, MESI: E, Tag: 00e
# Set: 0, Way: 8, MESI: S, Tag: 010
# Set: 0, Way: 9, MESI: S, Tag: 012
# Set: 0, Way: 10, MESI: E, Tag: 014
# Set: 0, Way: 11, MESI: E, Tag: 016
# Set: 0, Way: 12, MESI: S, Tag: 018
# Set: 0, Way: 13, MESI: S, Tag: 01a
# Set: 0, Way: 14, MESI: E, Tag: 01c
# Set: 0, Way: 15, MESI: E, Tag: 01e
# Parsed: n = 0, 
# Address: Tag[31:20] = 020, Index[19:6] = 0000 , Offset[5:0] = 00
# Read request from L1 data cache, Address: 02000000 
# 
# CacheRead Count =          17
# Cache miss for address 02000000
# CacheMiss Count =          17
# Cache hit is  = 1, cache_misses is = 11, way_idx = 0 
# MESI state before entering function is = 1
# NO invalid MESI state found. Returning PLRU-selected victim: way 8, 
# Busop: READ, Address: 02000000, Snoop Result: HIT
# Index = 0, way = 0, tag = 0
# Updating for Way:           8 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
# PLRU BitUpdated PLRU[          5] = 0
# PLRU BitUpdated PLRU[         11] = 0
# Snoop response HIT or HITM. Transitioning to Shared state.
# Current state 1
# L2: SENDLINE 02000000
# Parsed: n = 9, 
# Address: Tag[31:20] = 000, Index[19:6] = 0000 , Offset[5:0] = 00
# Set: 0, Way: 0, MESI: S, Tag: 000
# Set: 0, Way: 1, MESI: S, Tag: 002
# Set: 0, Way: 2, MESI: E, Tag: 004
# Set: 0, Way: 3, MESI: E, Tag: 006
# Set: 0, Way: 4, MESI: S, Tag: 008
# Set: 0, Way: 5, MESI: S, Tag: 00a
# Set: 0, Way: 6, MESI: M, Tag: 00c
# Set: 0, Way: 7, MESI: E, Tag: 00e
# Set: 0, Way: 8, MESI: S, Tag: 020
# Set: 0, Way: 9, MESI: S, Tag: 012
# Set: 0, Way: 10, MESI: E, Tag: 014
# Set: 0, Way: 11, MESI: E, Tag: 016
# Set: 0, Way: 12, MESI: S, Tag: 018
# Set: 0, Way: 13, MESI: S, Tag: 01a
# Set: 0, Way: 14, MESI: E, Tag: 01c
# Set: 0, Way: 15, MESI: E, Tag: 01e
# No. of cache hits = 1
# No. of cache misses = 17
# No. of cache writes = 1
# No. of cache reads = 17
# CacheHit Count =           1
# CacheMiss Count =          17
# CacheRead Count =          17
# CacheWrite Count =           1
# Cache hit ratio = 0.055556 
# Finished reading from ./traces/t5.din.
# CacheHit Count =           1
# CacheMiss Count =          17
# CacheRead Count =          17
# CacheWrite Count =           1
# Cache hit ratio = 0.055556 
