vsim -c LLC_Cache -do "run -all" +trace_file=./traces/t3.din
# End time: 20:57:21 on Dec 09,2024, Elapsed time: 0:00:56
# Errors: 0, Warnings: 1
# vsim -c LLC_Cache -do "run -all" "+trace_file=./traces/t3.din" 
# Start time: 20:57:21 on Dec 09,2024
# ** Note: (vsim-8009) Loading existing optimized design _opt3
# Loading sv_std.std
# Loading work.pkg_line(fast)
# Loading work.pkg_bus(fast)
# Loading work.pkg_plru(fast)
# Loading work.TOP_sv_unit(fast)
# Loading work.LLC_Cache(fast)
# run -all
# Read request from L1 instruction cache, Address: 00000040
# 
# Cache miss for address 00000040
# Found Invalid MESI state in Way: 0
# Updating for Way:           0 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 0
# Busop: READ, Address: 00000040, Snoop Result: HIT
# L2: SENDLINE 00000040
# Read request from L1 instruction cache, Address: 00200041
# 
# Cache miss for address 00200041
# Found Invalid MESI state in Way: 1
# Updating for Way:           1 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 1
# Busop: READ, Address: 00200041, Snoop Result: HITM
# L2: SENDLINE 00200040
# Read request from L1 instruction cache, Address: 00400042
# 
# Cache miss for address 00400042
# Found Invalid MESI state in Way: 2
# Updating for Way:           2 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 0
# Busop: READ, Address: 00400042, Snoop Result: NOHIT
# L2: SENDLINE 00400040
# Read request from L1 instruction cache, Address: 00600043
# 
# Cache miss for address 00600043
# Found Invalid MESI state in Way: 3
# Updating for Way:           3 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 1
# Busop: READ, Address: 00600043, Snoop Result: NOHIT
# L2: SENDLINE 00600040
# Read request from L1 instruction cache, Address: 00800044
# 
# Cache miss for address 00800044
# Found Invalid MESI state in Way: 4
# Updating for Way:           4 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
